sourceIPAddress,if_anomaly,if_score,lof_anomaly,lof_score,final_anomaly,risk_score
1.243,1,0.1551641283054968,1,-1.408753542503955,0,0.16733952361727897
1.245,1,0.12655050575724197,1,-0.9878300117193233,0,0.45680258377069033
1.246,-1,-0.21188449440356594,1,-1.7485746514523286,1,0.6090028259991925
1.247,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.25,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.250,-1,-0.021323762995084428,1,-1.5903084600214217,1,0.6322163907953169
1.251,1,0.11945865724566046,1,-1.0059581288226163,0,0.4136051675413807
1.252,1,0.1243999824553339,1,-1.308477107755674,0,0.2044812272910779
1.253,1,0.07486010883300293,1,-0.9765921482783273,0,0.47557529269277354
1.254,-1,-0.014209457739420062,1,-1.1300896559944216,1,0.8003633427533307
1.255,1,0.07630439028481545,1,-1.3283983820193148,0,0.1949939442874445
1.26,1,0.16764458665832965,1,-1.0,0,0.4222850222042794
1.27,1,0.16319503653976558,1,-1.0211440289061688,0,0.39483245861929755
1.3,1,0.1414755029633855,1,-1.402508350645519,0,0.16935809446911584
1.31,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.37,1,0.15612443478641486,1,-1.328712524056011,0,0.1945902301170771
1.38,-1,-0.057239611408088975,-1,-44.33083030761928,1,0.5222042793702059
1.39,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.41,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.44,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.47,1,0.1550784535717168,1,-1.2590180721584832,0,0.22910779168348808
1.48,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.49,1,0.11104308440997523,1,-1.3107132514194713,0,0.20286637060960838
1.5,-1,-0.1293765871806748,1,-1.3904102660747508,1,0.6733952361727896
1.52,1,0.17394232924275982,1,-1.0,0,0.4222850222042794
1.59,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.6,-1,-0.016547540033495234,1,-1.0368423455026516,1,0.8788857488897861
1.62,1,0.1182169412837848,1,-0.9865538534384555,0,0.4590230117077109
1.63,1,0.17182015098461578,1,-1.2496759527370858,0,0.2329430763019782
1.65,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.68,-1,-0.014184612207983838,1,-0.9882922787354784,1,0.9551877270892208
1.69,1,0.12575271383474695,1,-0.9906118037819075,0,0.4459023011707711
1.7,-1,-0.18080754451290593,1,-0.9868691691748644,1,0.9580137262817925
1.72,1,0.16188114199784676,1,-2.1006823702286566,0,0.08841340331045619
1.73,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
1.78,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.8,1,0.11387677219754938,1,-1.3931091893731362,0,0.1725878078320549
1.80,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.83,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.86,-1,-0.008479516000152176,1,-1.7373168677009587,1,0.6104158255954784
1.9,1,0.017029947044403304,1,-1.2026620209730652,0,0.25575292692773516
1.91,1,0.1650805298952156,1,-0.9971847460543941,0,0.4285425918449738
1.92,1,0.08909337120110239,1,-1.0,0,0.4222850222042794
1.94,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.97,1,0.027626240567948157,1,-1.3214604300549648,0,0.19822365765038352
1.99,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
