avg_cpu,avg_memory,max_cpu,max_memory,sample_cpu,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,vertical_scaling,scheduler,priority,scheduling_class,failed,if_prediction,if_score,lof_prediction,lof_score,final_anomaly,if_score_scaled,lof_score_inverted,lof_score_scaled,risk_score
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
0.4990234375,0.220458984375,1.15234375,0.2216796875,0.52734375,0.26904296875,0.0011482238769531,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.1949226522943036,1,-1.0,1,0.002685547005508604,1.0,6.783690584574241e-14,0.4986572264972796
